epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0449,0.91038,4.38262,0.95497,0.00115,0.21667,0.03334,0.03078,0.84214,4.11875,0.87995,5.716e-05,5.716e-05,5.716e-05
2,54.8818,1.03534,3.90856,1.08844,0.00271,0.7,0.16649,0.13561,0.96567,4.03613,0.84951,0.000126064,0.000126064,0.000126064
3,86.8257,0.93181,3.7009,0.8892,0.00437,0.84444,0.21771,0.16579,0.83332,3.85965,0.82222,0.000192138,0.000192138,0.000192138
4,117.676,0.83732,2.38227,0.88315,0.00465,0.86667,0.28264,0.23671,0.83731,3.8569,0.81907,0.000255382,0.000255382,0.000255382
5,148.049,0.79853,2.00695,0.87721,0.00361,0.76667,0.36616,0.31176,0.83465,3.82356,0.82398,0.000315798,0.000315798,0.000315798
6,178.589,0.75159,2.03336,0.89665,0.00286,0.69444,0.48973,0.39868,0.84417,3.76996,0.82868,0.000373383,0.000373383,0.000373383
7,209.109,0.69461,1.5699,0.85671,0.0027,0.69444,0.42913,0.26687,0.90655,3.758,0.85258,0.00042814,0.00042814,0.00042814
8,240.278,0.78803,1.55684,0.89703,0.00247,0.67778,0.15884,0.11348,0.83662,3.81181,0.85707,0.000480067,0.000480067,0.000480067
9,255.756,0.79906,2.79016,0.9255,0.00231,0.64444,0.01429,0.01145,0.83205,3.92935,0.89514,0.000529164,0.000529164,0.000529164
10,269.016,0.73811,1.35462,0.89677,0.00308,0.74444,0.00491,0.00422,0.84066,4.02222,0.9262,0.000575433,0.000575433,0.000575433
11,283.165,0.78868,1.42602,0.94165,0.00338,0.76111,0.00317,0.00259,0.85299,4.15073,0.93876,0.000618871,0.000618871,0.000618871
12,299.106,0.83423,1.36549,0.92621,0.00373,0.81111,0.00713,0.00536,0.95816,6.35852,0.96515,0.000659481,0.000659481,0.000659481
13,314.66,0.61126,2.5499,0.72896,0.00419,0.88889,0.01312,0.00992,0.94347,7.90461,0.96164,0.000697261,0.000697261,0.000697261
14,330.636,0.77131,1.30393,0.87056,0.00354,0.81111,0.0165,0.01334,0.87341,9.96615,0.9198,0.000732211,0.000732211,0.000732211
15,346.545,0.73925,1.14993,0.87484,0.11865,0.11111,0.13114,0.09269,0.91169,10.2144,0.98344,0.000764332,0.000764332,0.000764332
16,362.149,0.73389,1.0895,0.90401,0.33718,0.51218,0.33205,0.23217,0.92938,10.156,1.02468,0.000793624,0.000793624,0.000793624
17,378.204,0.68978,1.16929,0.88247,0.07358,0.48755,0.08028,0.06489,0.87606,11.7305,0.92613,0.000820086,0.000820086,0.000820086
